Cos[phi],Cos[psi],
-0.6184358265612635,-0.74942968995548,
0.3528968154772466,0.16737274697663113,
-0.3866787705145879,-0.5857784077112408,
0.0432811132628652,0.6462638384477807,
0.4065979223152813,0.8380188252363432,
-0.5951314017714742,-0.6886457041592322,
-0.08021458168497318,0.5079082575071601,
-0.7979732972154756,-0.8031711407823042,
0.13424389008780888,0.5410552028249442,
0.24218268362711756,0.7459992630834954,
0.04844881938971992,0.43376602350682436,
0.37602049975589946,0.24625140613701987,
0.31367925453885265,0.48007039924396505,
-0.6990395791467097,-0.910055338365288,
0.06369627387171546,-0.9503475003854973,
-0.8027238105027821,-0.7578952787324593,
-0.9803573255885967,-0.9973590298133054,
0.4958391489238295,-0.6320698777970044,
0.0710465536360576,0.7780831069263354,
-0.42057666322514564,-0.8467600136252333,
-0.12895655860019853,0.7525827304433899,
-0.3220343755620656,-0.5075233246176214,
0.48249069540130285,0.05892829952514514,
-0.842743776731761,-0.9463112652720053,
-0.4858015326399685,-0.8527131106048556,
-0.7952195752480522,-0.9011905221242307,
-0.8626108048195028,-0.1566189133360204,
-0.705178913342442,-0.9337367051383022,
-0.9881802707622905,-0.9793500323380201,
0.19336795818583646,0.6967645957251711,
0.008588659655038711,-0.2771469614832397,
-0.8039191459060333,-0.8657809542867692,
-0.6562960956186741,-0.990851770397482,
-0.8517543688133857,-0.7533453569853787,
-0.9399788211214055,-0.9369042495565,
0.0587174803664005,-0.6233065447139198,
0.1082908513466094,0.5844238772220954,
0.31235647261396654,0.6054079032610789,
-0.6329756040372635,-0.9936839828098598,
-0.003056066763177035,0.266587438281871,
0.33432011828485364,0.3019472986373382,
0.42031220717862844,0.5362334547377625,
-0.7250979893387066,-0.9485946709159409,
-0.6098547336044271,-0.8566184792931428,
-0.5288383445159659,-0.4914510564603539,
0.15456899086473605,0.49931513453575516,
-0.8770455666942462,-0.9999225719726641,
0.13196574499969246,0.701066099316215,
0.21193717753894323,0.7488770741840639,
-0.900295981520993,-0.9973981798776165,
-0.7698675895544185,-0.9826225166779149,
-0.6582822680845037,-0.8495798415016838,
-0.8594510269679926,-0.9625357320906098,
